,Date,cases_az
170,2020-07-10,4221.0
171,2020-07-11,3038.0
172,2020-07-12,2537.0
173,2020-07-13,1357.0
174,2020-07-14,4273.0
175,2020-07-15,3257.0
176,2020-07-16,3259.0
177,2020-07-17,3910.0
178,2020-07-18,2742.0
179,2020-07-19,2359.0
180,2020-07-20,1559.0
181,2020-07-21,3500.0
182,2020-07-22,1926.0
183,2020-07-23,2335.0
184,2020-07-24,3357.0
185,2020-07-25,3748.0
186,2020-07-26,1965.0
187,2020-07-27,1813.0
188,2020-07-28,2107.0
189,2020-07-29,2339.0
190,2020-07-30,2525.0
191,2020-07-31,3212.0
192,2020-08-01,2992.0
193,2020-08-02,1465.0
194,2020-08-03,1030.0
195,2020-08-04,1008.0
196,2020-08-05,1698.0
197,2020-08-06,1444.0
198,2020-08-07,1406.0
199,2020-08-08,1054.0
200,2020-08-09,816.0
201,2020-08-10,600.0
202,2020-08-11,1214.0
203,2020-08-12,706.0
204,2020-08-13,1351.0
205,2020-08-14,927.0
206,2020-08-15,933.0
207,2020-08-16,883.0
208,2020-08-17,468.0
209,2020-08-18,915.0
210,2020-08-19,637.0
211,2020-08-20,723.0
212,2020-08-21,619.0
213,2020-08-22,996.0
214,2020-08-23,208.0
215,2020-08-24,310.0
216,2020-08-25,860.0
217,2020-08-26,186.0
218,2020-08-27,680.0
219,2020-08-28,519.0
220,2020-08-29,629.0
221,2020-08-30,374.0
222,2020-08-31,174.0
223,2020-09-01,507.0
224,2020-09-02,519.0
225,2020-09-03,1092.0
226,2020-09-04,728.0
227,2020-09-05,835.0
228,2020-09-06,250.0
229,2020-09-07,198.0
230,2020-09-08,81.0
231,2020-09-09,496.0
232,2020-09-10,461.0
233,2020-09-11,521.0
234,2020-09-12,605.0
235,2020-09-13,384.0
236,2020-09-14,213.0
237,2020-09-15,484.0
238,2020-09-16,698.0
239,2020-09-17,1721.0
240,2020-09-18,1314.0
241,2020-09-19,609.0
242,2020-09-20,467.0
243,2020-09-21,1233.0
244,2020-09-22,0.0
245,2020-09-23,438.0
246,2020-09-24,568.0
247,2020-09-25,515.0
248,2020-09-26,459.0
249,2020-09-27,411.0
250,2020-09-28,273.0
251,2020-09-29,674.0
252,2020-09-30,323.0
253,2020-10-01,705.0
254,2020-10-02,551.0
255,2020-10-03,636.0
256,2020-10-04,355.0
257,2020-10-05,316.0
258,2020-10-06,864.0
259,2020-10-07,604.0
260,2020-10-08,863.0
261,2020-10-09,683.0
262,2020-10-10,894.0
263,2020-10-11,597.0
264,2020-10-12,475.0
265,2020-10-13,684.0
266,2020-10-14,901.0
267,2020-10-15,1113.0
268,2020-10-16,738.0
269,2020-10-17,921.0
270,2020-10-18,742.0
271,2020-10-19,714.0
272,2020-10-20,1074.0
273,2020-10-21,975.0
274,2020-10-22,994.0
275,2020-10-23,976.0
276,2020-10-24,890.0
277,2020-10-25,1391.0
278,2020-10-26,800.0
279,2020-10-27,1157.0
280,2020-10-28,1045.0
281,2020-10-29,1315.0
282,2020-10-30,1565.0
283,2020-10-31,1901.0
284,2020-11-01,1527.0
285,2020-11-02,666.0
286,2020-11-03,1679.0
287,2020-11-04,815.0
288,2020-11-05,2134.0
289,2020-11-06,1997.0
290,2020-11-07,2620.0
291,2020-11-08,1880.0
292,2020-11-09,435.0
293,2020-11-10,3434.0
294,2020-11-11,2030.0
295,2020-11-12,1399.0
296,2020-11-13,3015.0
297,2020-11-14,3476.0
298,2020-11-15,2382.0
299,2020-11-16,1477.0
300,2020-11-17,2984.0
301,2020-11-18,3206.0
302,2020-11-19,4123.0
303,2020-11-20,4471.0
304,2020-11-21,3638.0
305,2020-11-22,4331.0
306,2020-11-23,2659.0
307,2020-11-24,4544.0
308,2020-11-25,3981.0
309,2020-11-26,3477.0
310,2020-11-27,4312.0
311,2020-11-28,4136.0
312,2020-11-29,3221.0
313,2020-11-30,822.0
315,2020-12-02,3840.0
316,2020-12-03,5442.0
317,2020-12-04,5680.0
319,2020-12-06,5376.0
320,2020-12-07,1567.0
322,2020-12-09,4444.0
323,2020-12-10,4928.0
328,2020-12-15,4451.0
329,2020-12-16,4837.0
330,2020-12-17,5817.0
332,2020-12-19,5560.0
333,2020-12-20,5366.0
334,2020-12-21,0.0
335,2020-12-22,0.0
336,2020-12-23,0.0
337,2020-12-24,0.0
338,2020-12-25,0.0
339,2020-12-26,0.0
340,2020-12-27,0.0
342,2020-12-29,2799.0
343,2020-12-30,5267.0
348,2021-01-04,5158.0
349,2021-01-05,5932.0
357,2021-01-13,5629.0
362,2021-01-18,5400.0
364,2021-01-20,4845.0
369,2021-01-25,5314.0
370,2021-01-26,4755.0
371,2021-01-27,5918.0
372,2021-01-28,4671.0
373,2021-01-29,5028.0
374,2021-01-30,5119.0
375,2021-01-31,5025.0
376,2021-02-01,3741.0
377,2021-02-02,2938.0
378,2021-02-03,2285.0
379,2021-02-04,4428.0
380,2021-02-05,3826.0
381,2021-02-06,3471.0
382,2021-02-07,1544.0
383,2021-02-08,2251.0
384,2021-02-09,4380.0
385,2021-02-10,1984.0
386,2021-02-11,1872.0
387,2021-02-12,2409.0
388,2021-02-13,1792.0
389,2021-02-14,1945.0
390,2021-02-15,1339.0
391,2021-02-16,1132.0
392,2021-02-17,1315.0
393,2021-02-18,1143.0
394,2021-02-19,1918.0
395,2021-02-20,2041.0
396,2021-02-21,1810.0
397,2021-02-22,0.0
398,2021-02-23,4000.0
399,2021-02-24,0.0
400,2021-02-25,2560.0
401,2021-02-26,0.0
402,2021-02-27,2254.0
403,2021-02-28,1039.0
404,2021-03-01,0.0
405,2021-03-02,849.0
406,2021-03-03,1284.0
407,2021-03-04,1155.0
408,2021-03-05,2276.0
409,2021-03-06,0.0
410,2021-03-07,3852.0
411,2021-03-08,565.0
412,2021-03-09,0.0
413,2021-03-10,899.0
414,2021-03-11,2019.0
415,2021-03-12,1370.0
416,2021-03-13,814.0
417,2021-03-14,0.0
418,2021-03-15,678.0
419,2021-03-16,491.0
420,2021-03-17,983.0
421,2021-03-18,331.0
422,2021-03-19,162.0
423,2021-03-20,0.0
424,2021-03-21,1357.0
425,2021-03-22,0.0
426,2021-03-23,510.0
427,2021-03-24,600.0
428,2021-03-25,0.0
429,2021-03-26,703.0
430,2021-03-27,1173.0
431,2021-03-28,600.0
432,2021-03-29,122.0
433,2021-03-30,578.0
434,2021-03-31,692.0
435,2021-04-01,389.0
436,2021-04-02,901.0
437,2021-04-03,1154.0
